date,ABT,AMD,ANET,AVGO,BMY,CAT,CEG,CLS,CMCSA,COST,CRDO,CVX,EEM,EFA,ELV,EWG,EWJ,GE,GEV,GOOGL,IWM,JNJ,KHC,KO,KRE,LIN,LITE,LLY,LRCX,MCD,MDY,META,MRK,MSFT,MU,NKE,NVDA,PEP,PFE,PG,PLTR,PYPL,SPY,TGT,TSM,UBER,UNH,VRT,WMT,XLF,XLI,XLV
2026-04-27,92.80000305175781,334.6300048828125,172.47000122070312,417.5391845703125,57.13504409790039,828.7899780273438,314.68109130859375,422.2099914550781,27.14021110534668,996.56396484375,180.5,183.10292053222656,63.3109245300293,99.80070495605469,354.686767578125,41.29173278808594,87.20618438720703,284.2057189941406,1119.6578369140625,350.130859375,276.4825134277344,224.0514678955078,21.5297908782959,74.95606231689453,69.66259765625,509.1399841308594,859.6799926757812,866.7779541015625,259.287353515625,288.2550048828125,663.1502685546875,677.9916381835938,109.44297790527344,423.9018859863281,524.4793090820312,44.73966598510742,216.3578338623047,152.49559020996094,26.35496711730957,148.39999389648438,143.10000610351562,49.606475830078125,713.332275390625,128.50587463378906,404.0338134765625,76.2699966430664,352.67572021484375,322.3629150390625,127.34696197509766,51.629146575927734,172.08660888671875,142.83009338378906
2026-04-28,93.86000061035156,323.2099914550781,165.2899932861328,399.19818115234375,57.609683990478516,817.8699951171875,305.2357482910156,361.5400085449219,27.268463134765625,992.5597534179688,165.9199981689453,186.6504364013672,62.66428756713867,99.38724517822266,361.2699890136719,41.06625747680664,87.08683013916016,288.8399658203125,1088.3739013671875,349.5711975097656,273.2601623535156,226.48745727539062,22.06999969482422,77.8473892211914,69.96085357666016,508.68145751953125,791.3699951171875,872.498046875,251.0531463623047,290.42034912109375,656.5068359375,670.7183837890625,109.24440002441406,428.3222961425781,504.21246337890625,44.63064193725586,212.92184448242188,154.6627655029297,26.049999237060547,149.1699981689453,141.17999267578125,49.47690200805664,709.8612060546875,125.95001983642578,391.42333984375,74.11000061035156,364.6871032714844,304.966552734375,127.34696197509766,51.669002532958984,170.56036376953125,143.20840454101562
2026-04-29,91.33000183105469,337.1099853515625,168.67999267578125,404.809326171875,56.94716262817383,810.0499877929688,296.5392761230469,376.5400085449219,26.400293350219727,997.2229614257812,175.77000427246094,190.47540283203125,62.36583709716797,98.373291015625,375.10369873046875,40.52707290649414,86.34088134765625,283.21697998046875,1062.5670166015625,349.7311096191406,271.4344787597656,226.0499725341797,22.020889282226562,78.36405944824219,68.6286392211914,503.1190185546875,858.3200073242188,849.7472534179688,248.57489013671875,288.1258850097656,651.6987915039062,668.5004272460938,110.15782928466797,423.5426330566406,518.3803100585938,43.99631881713867,209.00640869140625,153.67318725585938,25.833572387695312,146.4600067138672,137.97000122070312,50.77263259887695,709.7515258789062,126.67318725585938,392.90985107421875,74.47000122070312,368.6345520019531,306.1163024902344,127.76616668701172,51.7387580871582,169.512939453125,142.21279907226562
2026-04-30,90.79000091552734,354.489990234375,172.7100067138672,416.7703857421875,59.91367721557617,890.1099853515625,312.51446533203125,409.5899963378906,26.676528930664062,1013.06005859375,174.00999450683594,191.55551147460938,63.65911865234375,100.72605895996094,374.8945617675781,41.42898178100586,88.6185073852539,289.56903076171875,1082.9066162109375,384.5702819824219,277.310546875,228.5356903076172,22.256616592407227,78.25476837158203,69.4438705444336,499.560302734375,902.3200073242188,932.993896484375,257.678466796875,291.61224365234375,662.5218505859375,611.3433837890625,108.40046691894531,406.8987121582031,517.0804443359375,43.96658706665039,199.33767700195312,156.83987426757812,26.266427993774414,147.08999633789062,139.11000061035156,49.97526168823242,716.8132934570312,128.5355987548828,395.1346435546875,74.61000061035156,368.37603759765625,328.4216613769531,131.67869567871094,51.948028564453125,174.1515350341797,145.34898376464844
2026-05-01,89.45999908447266,360.5400085449219,172.6999969482422,420.6142883300781,57.570133209228516,889.6699829101562,307.3324890136719,418.92999267578125,26.824512481689453,1011.7000122070312,184.3800048828125,188.89984130859375,63.79838943481445,100.50949096679688,371.1697082519531,41.49760818481445,87.82283782958984,286.1533203125,1062.4071044921875,385.45977783203125,278.617431640625,225.89088439941406,22.089643478393555,78.07592010498047,69.41404724121094,506.31890869140625,949.9299926757812,961.674560546875,256.5392761230469,284.7090759277344,662.7013549804688,608.1863403320312,111.35919952392578,413.5443115234375,542.1266479492188,44.00623321533203,198.21897888183594,155.7711181640625,25.902435302734375,147.25999450683594,144.07000732421875,50.27427291870117,718.7982177734375,127.68363952636719,396.74090576171875,75.12000274658203,366.6856994628906,328.24169921875,131.34933471679688,51.7387580871582,172.53550720214844,144.5226287841797
2026-05-04,87.54000091552734,341.5400085449219,172.6199951171875,415.84185791015625,56.73950958251953,874.780029296875,320.55194091796875,420.7300109863281,26.706125259399414,1012.7899780273438,180.05999755859375,190.53485107421875,63.7685432434082,99.13129425048828,370.3928527832031,40.6643180847168,87.64380645751953,280.1707458496094,1073.4014892578125,383.0212097167969,277.22076416015625,222.91798400878906,22.020889282226562,77.68842315673828,68.58887481689453,491.99420166015625,976.1799926757812,966.2666625976562,258.38800048828125,282.1861877441406,658.681396484375,609.8447875976562,112.30241394042969,412.72607421875,576.3613891601562,42.707847595214844,198.24893188476562,152.98046875,25.872920989990234,143.4199981689453,146.02999877929688,50.22443771362305,716.1649780273438,126.56421661376953,400.6716613769531,73.93000030517578,368.6445007324219,330.9011535644531,130.08175659179688,51.39994812011719,170.56036376953125,144.09449768066406
2026-05-05,87.16999816894531,355.260009765625,170.22000122070312,426.6846923828125,56.314308166503906,904.5900268554688,319.9229431152344,417.6600036621094,26.104324340820312,1016.4199829101562,193.57000732421875,190.89158630371094,65.06182861328125,100.45042419433594,367.5743408203125,41.556427001953125,88.77764892578125,286.3230895996094,1094.650634765625,388.1981201171875,281.8896484375,224.26026916503906,22.13875389099121,77.9765625,69.51346588134766,498.7129821777344,994.5599975585938,987.170654296875,275.6058349609375,283.2489929199219,667.1702880859375,604.3998413085938,112.34212493896484,410.4909362792969,640.1015625,42.67811584472656,196.271240234375,153.42578125,26.02048683166504,144.89999389648438,135.91000366210938,46.33725357055664,721.9102172851562,127.61430358886719,393.488525390625,72.94999694824219,361.8035583496094,340.94903564453125,130.54086303710938,51.409912109375,171.9868621826172,144.66200256347656
2026-05-06,86.30000305175781,421.3900146484375,147.05999755859375,424.7677307128906,55.95832824707031,926.9299926757812,322.2792663574219,413.8699951171875,26.0845947265625,995.75,198.2899932861328,183.47947692871094,67.1410140991211,103.1772689819336,373.19146728515625,42.61518859863281,91.1845703125,305.4492492675781,1118.3885498046875,397.8023986816406,286.11956787109375,223.33558654785156,22.659318923950195,78.72174835205078,70.29887390136719,500.2879638671875,944.280029296875,985.353759765625,296.9608154296875,282.1861877441406,679.2103271484375,612.3125,112.74919128417969,413.0653381347656,666.487548828125,43.490840911865234,207.5880584716797,154.33621215820312,26.09918785095215,147.89999389648438,133.7899932861328,46.117977142333984,731.9443359375,128.9714813232422,418.5198974609375,79.16999816894531,365.1942138671875,358.8453369140625,129.8322296142578,51.65903854370117,176.4359130859375,144.7615509033203
2026-05-07,87.01000213623047,408.4599914550781,141.75,411.9080810546875,55.62211990356445,895.6900024414062,310.797119140625,385.2099914550781,25.88728141784668,1012.0599975585938,188.2899932861328,180.84361267089844,66.24566650390625,101.28718566894531,371.40875244140625,41.66426086425781,90.498291015625,302.25323486328125,1045.0960693359375,397.7524108886719,281.5903625488281,221.23764038085938,23.21917152404785,77.9268798828125,69.54328918457031,492.29327392578125,892.5800170898438,973.2846069335938,286.31829833984375,281.78887939453125,670.7014770507812,616.2388305664062,111.49819946289062,419.8606262207031,646.5305786132812,44.01613998413086,211.2537841796875,154.6627655029297,26.049999237060547,146.05999755859375,137.0500030517578,46.06814193725586,729.7001342773438,124.70181274414062,413.182373046875,76.7300033569336,367.6402282714844,339.93927001953125,129.95199584960938,51.370052337646484,173.5729522705078,144.0845489501953
2026-05-08,84.31999969482422,455.19000244140625,141.77000427246094,429.3205261230469,55.53312683105469,897.4500122070312,303.15899658203125,375.54998779296875,25.05857276916504,1008.7899780273438,188.5050048828125,179.9716033935547,67.58869171142578,102.34051513671875,376.5378723144531,41.81131362915039,91.72164916992188,296.7800598144531,1039.6187744140625,400.56072998046875,283.495849609375,220.05445861816406,23.53347396850586,77.91693878173828,69.4438705444336,491.6054382324219,903.7999877929688,946.8201293945312,293.8429870605469,273.8924255371094,673.5643920898438,609.0654907226562,110.58476257324219,414.22283935546875,746.6951293945312,43.74853515625,214.94947814941406,153.01016235351562,25.68000030517578,146.4199981689453,137.8000030517578,45.22093200683594,735.724609375,124.07771301269531,410.7181396484375,75.44999694824219,377.8221130371094,339.8992919921875,130.42999267578125,51.061134338378906,172.77491760253906,142.85995483398438
